name,ingredients_json,mood_labels,tags,category,instructions,glass,garnish,prep_time,difficulty,image_url,date
Barraquito,"[{""name"":""Coffee"",""measure"":""""},{""name"":""Licor 43"",""measure"":""""},{""name"":""Frothed Milk"",""measure"":""""},{""name"":""Condensed Milk"",""measure"":""""}]","intent_espresso_kick,time_nightcap","style_contemporary_classic,flavor_coffee,diet_dairy,texture_creamy",cat_coffee_tea,"In a glass, layer coffee, then Licor 43, followed by condensed milk, and top with frothed milk.",glass_coffee_mug,none,4 minutes,Medium,https://drive.google.com/file/d/1ariZswHSIOjzpSKA4oC-qC776a8STi-y/view?usp=drivesdk,2025-09-27
Basil Kadha,"[{""name"":""Basil"",""measure"":""""},{""name"":""Lemongrass"",""measure"":""""},{""name"":""Ginger"",""measure"":""""},{""name"":""Water"",""measure"":""""},{""name"":""Jaggery"",""measure"":""""}]","energy_relaxed,energy_cozy_warming","style_new_era,flavor_fruity,flavor_savory,strength_low_abv,occ_brunch",cat_soft_zero_proof,"Muddle basil, lemongrass, and ginger in a pot, then add water and jaggery. Simmer until fragrant, strain into a cup, and serve warm.",glass_coffee_mug,basil sprig,2 minutes,Easy,https://drive.google.com/file/d/1RE1qZ3y5Gk8eN8jY9TemWuU9TndALKGp/view?usp=drivesdk,2025-09-27
Basil Smash,"[{""name"":""Gin"",""measure"":""""},{""name"":""lemon juice"",""measure"":""""},{""name"":""sugar syrup"",""measure"":""""},{""name"":""basil leaves"",""measure"":""""}]","energy_light_refreshing,time_aperitif","style_contemporary_classic,flavor_citrus,flavor_fruity,strength_moderate",cat_smash_julep_swizzle,"Muddle basil leaves with sugar syrup in a shaker, then add gin and lemon juice. Fill with ice, shake well, and fine strain into a chilled glass.",glass_coffee_mug,basil sprig,4 minutes,Medium,https://drive.google.com/file/d/1x32q-P46n6YdMBnEbfYaX7gS8gcvrfb3/view?usp=drivesdk,2025-09-27
Basil Smash Pina Colada,"[{""name"":""lime, quartered"",""measure"":""""},{""name"":""basil or mint leaves"",""measure"":""""},{""name"":""white rum"",""measure"":""""},{""name"":""dark rum"",""measure"":""""},{""name"":""pineapple chunks"",""measure"":""""},{""name"":""canned coconut cream"",""measure"":""""}]","season_tropical,season_tiki,occ_party_high_energy","style_tiki,flavor_fruity,flavor_citrus,texture_creamy,season_summer,serve_frozen",cat_smash_julep_swizzle,"Muddle lime and basil or mint leaves in a shaker, then add white rum, dark rum, pineapple chunks, and canned coconut cream with ice. Shake well and fine strain into a chilled glass.",glass_coffee_mug,basil sprig,6 minutes,Medium,https://drive.google.com/file/d/1j3KNo8CoQME4I-c7W_t5_W7pc2CwSs0U/view?usp=drivesdk,2025-09-27
Bay Breeze,"[{""name"":""cranberry juice"",""measure"":""""},{""name"":""pineapple juice"",""measure"":""""},{""name"":""vodka"",""measure"":""""}]","energy_light_refreshing,season_tropical","style_contemporary_classic,flavor_fruity,strength_moderate,serve_long,season_summer",cat_highball_long,"Combine equal parts cranberry juice and pineapple juice with vodka in a glass filled with ice, then stir gently to mix.",glass_coffee_mug,none,2 minutes,Easy,https://drive.google.com/file/d/1nbQjIJ1skcW-cXa5yJ56xCsaAsdbi5_t/view?usp=drivesdk,2025-09-27
"Beam me up, Scotchie","[{""name"":""Glenfiddich Scotch"",""measure"":""""},{""name"":""Figs"",""measure"":""""},{""name"":""Vanilla liqueur"",""measure"":""""}]","energy_bold_spirit_forward,energy_indulgent","style_contemporary_classic,flavor_fruity,flavor_sweet,strength_moderate",cat_liqueur_cordial,"Muddle figs in a shaker, then add Glenfiddich Scotch and vanilla liqueur with ice. Shake well and strain into a chilled glass.",glass_coffee_mug,none,4 minutes,Medium,https://drive.google.com/file/d/1Rcm79iBVyagUM4IyxaRkrPApbgR49jig/view?usp=drivesdk,2025-09-27
Bee's Kiss,"[{""name"":""white rum"",""measure"":""""},{""name"":""cream"",""measure"":""""},{""name"":""honey"",""measure"":""""},{""name"":""nutmeg"",""measure"":""""}]","energy_creamy_velvety,intent_dessert","style_classic,diet_dairy,texture_creamy,flavor_sweet",cat_milk_egg_cream,"Combine white rum, cream, and honey in a shaker with ice, then shake well and strain into a chilled glass. Grate nutmeg on top for garnish.",glass_coffee_mug,grated nutmeg,4 minutes,Medium,https://drive.google.com/file/d/1Ct15E1XCbxiMskmCSQcLBoayGXxGcwMN/view?usp=drivesdk,2025-09-27
Bee's Knees,"[{""name"":""dry gin"",""measure"":""""},{""name"":""lemon juice"",""measure"":""""},{""name"":""honey"",""measure"":""""}]","energy_light_refreshing,time_aperitif","style_classic,flavor_citrus,flavor_sweet,strength_moderate,serve_up",cat_short_shaken_citrus,"Combine dry gin, lemon juice, and honey in a shaker with ice, then strain into a chilled coupe.",glass_coffee_mug,lemon twist,3 minutes,Medium,https://drive.google.com/file/d/15G7GZlyVRN0GysXFtebqnP_wz14KzozX/view?usp=drivesdk,2025-09-27
Beer Pletok,"[{""name"":""ginger (choose the old one)"",""measure"":""""},{""name"":""lemongrass"",""measure"":""""},{""name"":""water (boiled)"",""measure"":""""},{""name"":""sappan wood (washed)"",""measure"":""""},{""name"":""cinnamon"",""measure"":""""},{""name"":""of granulated sugar"",""measure"":""""},{""name"":""ice cubes as needed"",""measure"":""""},{""name"":""salt as needed"",""measure"":""""}]","energy_relaxed,time_aperitif","style_new_era,flavor_spicy,flavor_savory,serve_frozen,occ_brunch",cat_beer_cocktail,"Combine ginger, lemongrass, sappan wood, cinnamon, granulated sugar, and a pinch of salt in a pot with boiled water, then simmer for 10 minutes. Strain into a glass over ice and serve.",glass_coffee_mug,none,2 minutes,Easy,https://drive.google.com/file/d/1g3VxiwqaR3l03Z6lsIILxfA0ADMgSq-u/view?usp=drivesdk,2025-09-27
Beergarita,"[{""name"":""Tequila"",""measure"":""""},{""name"":""Tattersall Grapefruit Crema"",""measure"":""""},{""name"":""Lime juice"",""measure"":""""},{""name"":""Light Beer (i.e. Kolsh)"",""measure"":""""}]","energy_light_refreshing,time_aperitif","style_contemporary_classic,flavor_citrus,serve_bubbly,strength_moderate,occ_party",cat_beer_cocktail,"Combine equal parts tequila, Tattersall Grapefruit Crema, and lime juice in a shaker with ice, then shake well. Strain into a glass and top with light beer.",glass_coffee_mug,lime wedge,3 minutes,Medium,https://drive.google.com/file/d/16FQn3YqvrRaXe73JJEKDss2CUpmqOJll/view?usp=drivesdk,2025-09-27
Bellini,"[{""name"":""Prosecco"",""measure"":""10 cl""},{""name"":""Peach puree"",""measure"":""5 cl""}]","energy_light_refreshing,energy_bright_uplifting","style_spritz,flavor_fruity,serve_bubbly",cat_spritz_sparkling,"Pour peach puree into a chilled champagne flute, then gently add Prosecco and stir to combine.",glass_flute,none,2 minutes,Easy,https://drive.google.com/file/d/1919BamISmq1mKQn93fcNGovzoxSZ16n6/view?usp=drivesdk,2025-09-27
Bentley,"[{""name"":""applejack (or calvados)"",""measure"":""""},{""name"":""Red Dubonnet"",""measure"":""""},{""name"":""Peychaud's Bitters, optional (or bitter orange)"",""measure"":""""}]","energy_bittersweet,time_aperitif","style_classic,flavor_fruity,strength_moderate",cat_unknown_other,"Combine equal parts applejack and Red Dubonnet in a mixing glass, add a dash of Peychaud's Bitters if desired, then stir with ice and strain into a chilled glass.",glass_coffee_mug,none,2 minutes,Easy,https://drive.google.com/file/d/1mVF76HXtksnn6L_B_ZrIc4vaWBwVMxNZ/view?usp=drivesdk,2025-09-27
Beras Kencur,"[{""name"":""galangal"",""measure"":""""},{""name"":""rice"",""measure"":""""},{""name"":""tamarind"",""measure"":""""},{""name"":""salt"",""measure"":""""},{""name"":""palm sugar"",""measure"":""""},{""name"":""water"",""measure"":""""}]","energy_relaxed,energy_smooth","style_new_era,flavor_savory,flavor_sour,origin_asia",cat_soft_zero_proof,"Blend galangal, rice, tamarind, salt, palm sugar, and water until smooth, then strain into a glass.",glass_coffee_mug,none,2 minutes,Easy,https://drive.google.com/file/d/1x_xidaf4mNKQ-uVRpqRIHz9wddvCuF9A/view?usp=drivesdk,2025-09-27
Berry and Oat Smoothie,"[{""name"":""Rolled oats"",""measure"":""""},{""name"":""semi-skimmed milk"",""measure"":""""},{""name"":""honey"",""measure"":""""},{""name"":""blackberries"",""measure"":""""},{""name"":""blueberries"",""measure"":""""},{""name"":""flaxseeds"",""measure"":""""}]","energy_light_refreshing,time_brunchy","diet_dairy,texture_creamy,occ_brunch",cat_soft_zero_proof,"Blend rolled oats, semi-skimmed milk, honey, blackberries, blueberries, and flaxseeds until smooth. Serve immediately.",glass_coffee_mug,none,1 minute,Easy,https://drive.google.com/file/d/16s_mQOnv_7eqf5zXN050vO4KM9FRBXo2/view?usp=drivesdk,2025-09-27
Berry Shrub,"[{""name"":""fresh or frozen raspberries"",""measure"":""""},{""name"":""sugar"",""measure"":""""},{""name"":""thyme"",""measure"":""""},{""name"":""white balsamic vinegar"",""measure"":""""}]","energy_light_refreshing,time_aperitif","style_new_era,flavor_fruity,flavor_sour,occ_brunch",cat_soft_zero_proof,"Muddle fresh or frozen raspberries with sugar and thyme in a mixing vessel, then add white balsamic vinegar and stir until well combined. Fine strain into a glass and serve.",glass_coffee_mug,thyme sprig,4 minutes,Medium,https://drive.google.com/file/d/1-A0IpFAi9lClLmdor5Y6uaUfw4qNZ6Ib/view?usp=drivesdk,2025-09-27
Berrylicious Frozen Sangria Slush,"[{""name"":""red wine"",""measure"":""""},{""name"":""ice cubes, crushed"",""measure"":""""},{""name"":""frozen blueberries"",""measure"":""""},{""name"":""fresh raspberries"",""measure"":""""},{""name"":""orange-flavored liqueur"",""measure"":""""},{""name"":""orange, juiced"",""measure"":""""},{""name"":""white sugar, or more to taste"",""measure"":""""}]","energy_light_refreshing,season_summer","style_spritz,serve_frozen,flavor_fruity,season_summer",cat_frozen_blended,"Blend red wine, crushed ice, frozen blueberries, fresh raspberries, orange-flavored liqueur, orange juice, and white sugar until smooth. Serve immediately in a chilled glass.",glass_coffee_mug,none,6 minutes,Medium,https://drive.google.com/file/d/1O46TGvdMnzOn7yN5BkT5T8Q4fCl9pu3q/view?usp=drivesdk,2025-09-27
Beton,"[{""name"":""Becherovka"",""measure"":""""},{""name"":""Tonic"",""measure"":""""},{""name"":""Lemon"",""measure"":""""}]","energy_light_refreshing,time_aperitif","style_contemporary_classic,flavor_citrus,serve_long",cat_highball_long,"Combine Becherovka and tonic in a glass filled with ice, then squeeze in fresh lemon juice and stir gently.",glass_coffee_mug,lemon twist,2 minutes,Easy,https://drive.google.com/file/d/1BsDmVzGBJQumAJt0amCdxhEboEpCKyec/view?usp=drivesdk,2025-09-27
Between the Sheets,"[{""name"":""White rum"",""measure"":""3 cl""},{""name"":""Cognac"",""measure"":""3 cl""},{""name"":""Triple Sec"",""measure"":""3 cl""},{""name"":""Lemon juice"",""measure"":""2 cl""}]","energy_bold_spirit_forward,time_aperitif","style_classic,style_sour_family,flavor_citrus,strength_moderate,serve_up",cat_short_shaken_citrus,"Combine white rum, cognac, triple sec, and lemon juice with ice, then strain into a chilled martini glass.",glass_martini,lemon twist,2 minutes,Medium,https://drive.google.com/file/d/1YAPPrexC4tm_ZGv_f_BGx7iNXPt3ZoHD/view?usp=drivesdk,2025-09-27
Bible Belt,"[{""name"":""Southern Comfort"",""measure"":""2 oz""},{""name"":""Triple sec"",""measure"":""1/2 oz""},{""name"":""Lime"",""measure"":""2 wedges""},{""name"":""Sour mix"",""measure"":""2 oz""}]","energy_bold_spirit_forward,time_nightcap","style_sour_family,flavor_citrus,strength_moderate",cat_unknown_other,"Muddle lime wedges in a highball glass, then add Southern Comfort, triple sec, and sour mix. Fill with ice and stir gently.",glass_highball,lime wedge,4 minutes,Medium,https://drive.google.com/file/d/15vNOTYSG6Uqes9aG5AxLgoSItOqctn5n/view?usp=drivesdk,2025-09-27
Big Red,"[{""name"":""Irish cream"",""measure"":""1/2 oz""},{""name"":""Goldschlager"",""measure"":""1/2 oz""}]","energy_indulgent,time_nightcap","style_shot,flavor_sweet,diet_dairy,strength_low_abv",cat_shot_shooter,"Layer Irish cream, then Goldschlager in a shot glass.",glass_shot,none,2 minutes,Easy,https://drive.google.com/file/d/11nqpzo_aijC44-yhoSOBDcWretYezaPw/view?usp=drivesdk,2025-09-27
Bijou,"[{""name"":""Orange Bitters"",""measure"":""1 dash""},{""name"":""Green Chartreuse"",""measure"":""1 oz""},{""name"":""Gin"",""measure"":""1 oz""},{""name"":""Sweet Vermouth"",""measure"":""1 oz""}]","energy_bold_spirit_forward,time_nightcap","style_classic,flavor_sour,strength_moderate,serve_up",cat_short_spirit_forward,"Combine 1 oz gin, 1 oz sweet vermouth, and 1 oz green chartreuse with a dash of orange bitters in a mixing glass filled with ice, then strain into a chilled cocktail glass.",glass_martini,lemon twist,2 minutes,Medium,https://drive.google.com/file/d/1JcfdhNq7UAaFMGVM8WaRvDPA5XcX8b8Z/view?usp=drivesdk,2025-09-27
Bikini Martini,"[{""name"":""coconut rum"",""measure"":""""},{""name"":""vodka"",""measure"":""""},{""name"":""pineapple juice"",""measure"":""""},{""name"":""grenadine syrup"",""measure"":""""}]","season_tropical,season_tiki,occ_party_high_energy","style_contemporary_classic,flavor_fruity,serve_up,season_summer,occ_party",cat_short_spirit_forward,"Combine coconut rum, vodka, pineapple juice, and grenadine syrup in a shaker with ice, then strain into a chilled glass.",glass_coffee_mug,none,2 minutes,Easy,https://drive.google.com/file/d/1gHY-jl-pJl0YACIbfv9gv9i_DOoJix83/view?usp=drivesdk,2025-09-27
Bitter but Good eh!,"[{""name"":""Gin"",""measure"":""""},{""name"":""Campari"",""measure"":""""},{""name"":""White Beer"",""measure"":""""},{""name"":""Orange peel"",""measure"":""""}]","energy_bittersweet,time_aperitif","style_contemporary_classic,flavor_bitter,flavor_citrus,strength_moderate,serve_up",cat_beer_cocktail,"Combine equal parts gin and Campari in a mixing glass with ice, stir until chilled, then strain into a chilled glass. Top with white beer and garnish with a twist of orange peel.",glass_coffee_mug,orange twist,3 minutes,Medium,https://drive.google.com/file/d/1kXdbxT4VbgddIBbxK2os3RC4bK-KocR2/view?usp=drivesdk,2025-09-27
Black Martini,"[{""name"":""gin"",""measure"":""""},{""name"":""black sambuca"",""measure"":""""},{""name"":""lemon twist"",""measure"":""""}]","energy_bold_spirit_forward,occ_soiree","style_contemporary_classic,flavor_intense,serve_up,appearance_dark",cat_short_spirit_forward,"Combine gin and black sambuca in a mixing glass with ice, stir until well chilled, then strain into a chilled martini glass. Garnish with a twist of lemon.",glass_coffee_mug,lemon twist,2 minutes,Medium,https://drive.google.com/file/d/1LWdEm_IQiCj4EiTh4RjkGSsKPaHA7wE3/view?usp=drivesdk,2025-09-27
Black Russian,"[{""name"":""Vodka"",""measure"":""5 cl""},{""name"":""Coffee liqueur"",""measure"":""2 cl""}]","energy_indulgent,time_nightcap","style_classic,flavor_coffee,strength_strong",cat_digestif_after_dinner,"In an old-fashioned glass filled with ice, combine 5 cl vodka and 2 cl coffee liqueur, then stir gently.",glass_rocks,none,2 minutes,Easy,https://drive.google.com/file/d/1Im2-jLacSwLYxgbKGVRrO8UDYkwOC8_l/view?usp=drivesdk,2025-09-27
Black Velvet,"[{""name"":""Sparkling Wine or Champagne"",""measure"":""""},{""name"":""Stout Beer"",""measure"":""""}]","energy_light_refreshing,time_aperitif","style_spritz,flavor_intense,strength_moderate",cat_beer_cocktail,"Pour equal parts stout beer and sparkling wine or champagne into a glass, allowing them to mix gently.",glass_coffee_mug,none,2 minutes,Easy,https://drive.google.com/file/d/1eyA_CJ6v2ea-YkjVeXzvDIF-H3dkK6wC/view?usp=drivesdk,2025-09-27
Black Widow,"[{""name"":""black vodka or frozen raspberries"",""measure"":""""},{""name"":""cranberry juice"",""measure"":""""}]","energy_light_refreshing,energy_bright_uplifting","style_new_era,flavor_fruity,appearance_dark",cat_soft_zero_proof,"Combine black vodka or frozen raspberries with cranberry juice in a shaker with ice, then strain into a chilled glass.",glass_coffee_mug,none,2 minutes,Easy,https://drive.google.com/file/d/1KsnV4kByb-CGII67I2lreXAXE9t85dNK/view?usp=drivesdk,2025-09-27
Blackberry Thyme Margarita,"[{""name"":""fresh blackberries"",""measure"":""""},{""name"":""fresh thyme"",""measure"":""""},{""name"":""lime"",""measure"":""""},{""name"":""orange zest"",""measure"":""""},{""name"":""silver tequila"",""measure"":""""},{""name"":""sparkling water for topping"",""measure"":""""},{""name"":""Optional: Honey for sweetening"",""measure"":""""},{""name"":""Optional: red plum quartered"",""measure"":""""}]","energy_light_refreshing,time_aperitif","style_contemporary_classic,flavor_fruity,flavor_citrus,serve_bubbly,occ_party",cat_short_shaken_citrus,"Muddle fresh blackberries and thyme in a shaker, then add lime juice, orange zest, silver tequila, and honey if desired; shake with ice and strain into a glass. Top with sparkling water and garnish with a quartered red plum if using.",glass_coffee_mug,lime wheel + thyme sprig,5 minutes,Medium,https://drive.google.com/file/d/19kdfpVgd40AuKvwNup8cChZeaT_IDeoP/view?usp=drivesdk,2025-09-27
Blackthorn,"[{""name"":""Sweet Vermouth"",""measure"":""1 oz""},{""name"":""Sloe gin"",""measure"":""1 1/2 oz""},{""name"":""Lemon peel"",""measure"":""1 twist of""}]","energy_bold_spirit_forward,time_aperitif","style_classic,flavor_sour,strength_moderate,serve_up",cat_short_spirit_forward,"Combine 1 1/2 oz sloe gin and 1 oz sweet vermouth with ice, then strain into a chilled cocktail glass. Garnish with a twist of lemon peel.",glass_martini,lemon twist,2 minutes,Easy,https://drive.google.com/file/d/1UTH-9r0r8yAvjgTmJRKHdKnPIqRdsSvw/view?usp=drivesdk,2025-09-27
Blackthorn Cocktail,"[{""name"":""Irish whiskey"",""measure"":""""},{""name"":""dry vermouth"",""measure"":""""},{""name"":""sweet vermouth"",""measure"":""""},{""name"":""Angostura bitters"",""measure"":""""},{""name"":""absinthe"",""measure"":""""},{""name"":""sweet vermouth"",""measure"":""""},{""name"":""lemon twist"",""measure"":""""}]","energy_bold_spirit_forward,time_nightcap","style_classic,flavor_bitter,strength_moderate,serve_up",cat_short_spirit_forward,"Combine Irish whiskey, dry vermouth, sweet vermouth, and Angostura bitters in a mixing glass with ice. Stir until well chilled, then rinse a chilled coupe with absinthe and discard excess. Fine strain the mixture into the prepared glass and garnish with a lemon twist.",glass_coffee_mug,lemon twist,4 minutes,Medium,https://drive.google.com/file/d/1SF7LKuH9CeSmVoSR9Yjv6qCwX06YL3Cq/view?usp=drivesdk,2025-09-27
Blood and Sand,"[{""name"":""Fresh blood orange juice"",""measure"":""""},{""name"":""Cherry liqueur"",""measure"":""""},{""name"":""Sweet vermouth"",""measure"":""""},{""name"":""Scotch"",""measure"":""""},{""name"":""An orange"",""measure"":""""},{""name"":""Ice"",""measure"":""""},{""name"":""A chilled coupe glass"",""measure"":""""}]","energy_bittersweet,time_nightcap","style_classic,flavor_citrus,strength_moderate,serve_up",cat_short_shaken_citrus,"Combine equal parts fresh blood orange juice, cherry liqueur, sweet vermouth, and Scotch in a shaker with ice. Shake well and fine strain into a chilled coupe glass. Garnish with an orange twist.",glass_coffee_mug,orange twist,4 minutes,Medium,https://drive.google.com/file/d/1UjGcmogb1-cU36bTDbd2Yge71NX1Jdk9/view?usp=drivesdk,2025-09-27
Blood Orange Champagne Mule,"[{""name"":""medium blood orange: juiced"",""measure"":""""},{""name"":""lime: juiced"",""measure"":""""},{""name"":""vodka"",""measure"":""""},{""name"":""mint leaves"",""measure"":""""},{""name"":""chilled ginger beer"",""measure"":""""},{""name"":""chilled champagne for topping"",""measure"":""""}]","energy_light_refreshing,energy_bright_uplifting","style_contemporary_classic,flavor_citrus,serve_bubbly,occ_brunch",cat_highball_long,"Muddle mint leaves in a shaker, then add blood orange juice, lime juice, and vodka; shake with ice and strain into a glass filled with ice. Top with chilled ginger beer and finish with a splash of chilled champagne.",glass_coffee_mug,lime wheel + mint sprig,6 minutes,Medium,https://drive.google.com/file/d/1UuBMlAbiyxzcHUfOkGuOgkKoYn6A7bun/view?usp=drivesdk,2025-09-27
Bloody Eyeball Shot,"[{""name"":""Coconut Rum"",""measure"":""""},{""name"":""Peach Schnapps"",""measure"":""""},{""name"":""Vodka"",""measure"":""""},{""name"":""Red Food Coloring"",""measure"":""""},{""name"":""Lychee"",""measure"":""""},{""name"":""Jelly"",""measure"":""""}]","occ_party_high_energy,season_tropical","style_shot,flavor_fruity,holiday_halloween",cat_shot_shooter,"In a shot glass, layer coconut rum, then peach schnapps, followed by vodka. Add a drop of red food coloring, then place a lychee filled with jelly on top.",glass_coffee_mug,none,4 minutes,Medium,https://drive.google.com/file/d/1G0SQx11aNSlTsEgdd2WYRakf1v4SuNEk/view?usp=drivesdk,2025-09-27
Bloody Geisha,"[{""name"":""Sake"",""measure"":""""},{""name"":""tomato juice"",""measure"":""""},{""name"":""lime juice"",""measure"":""""},{""name"":""Worcestershire sauce"",""measure"":""""},{""name"":""Tabasco sauce"",""measure"":""""},{""name"":""celery salt"",""measure"":""""},{""name"":""ground black pepper"",""measure"":""""},{""name"":""smoked paprika"",""measure"":""""}]","energy_relaxed,time_aperitif","style_classic,flavor_savory,strength_moderate,occ_brunch",cat_soft_zero_proof,"Combine sake, tomato juice, lime juice, Worcestershire sauce, Tabasco sauce, celery salt, ground black pepper, and smoked paprika in a shaker with ice. Shake well and strain into a glass.",glass_coffee_mug,none,3 minutes,Medium,https://drive.google.com/file/d/1f59UMHaRB8-GEqwZ9K85RqPF7jcrkaZI/view?usp=drivesdk,2025-09-27
Bloody Kirby,"[{""name"":""Grey Goose Le Citron vodka"",""measure"":""""},{""name"":""Kirby cucumber slice, peeled"",""measure"":""""},{""name"":""Tabasco sauce"",""measure"":""""},{""name"":""Dry vermouth"",""measure"":""""},{""name"":""Tomato juice"",""measure"":""""}]","energy_light_refreshing,time_aperitif","style_classic,flavor_savory,strength_moderate,occ_brunch",cat_beer_cocktail,"Muddle a peeled Kirby cucumber slice in a shaker, then add Grey Goose Le Citron vodka, dry vermouth, tomato juice, and a dash of Tabasco sauce. Shake well and strain into a glass filled with ice.",glass_coffee_mug,cucumber ribbon,4 minutes,Medium,https://drive.google.com/file/d/1BIxuXZ4AuCvfVXQDAAiCAVnhoxclBwlF/view?usp=drivesdk,2025-09-27
Bloody Mary,"[{""name"":""Vodka"",""measure"":""4.5 cl""},{""name"":""Tomato juice"",""measure"":""9 cl""},{""name"":""Lemon juice"",""measure"":""1.5 cl""},{""name"":"""",""measure"":""""},{""name"":"""",""measure"":""""},{""name"":"""",""measure"":""""},{""name"":"""",""measure"":""""}]","energy_relaxed,time_brunchy","style_classic,flavor_savory,strength_moderate,occ_brunch",cat_highball_long,"Combine vodka, tomato juice, and lemon juice in a highball glass filled with ice, then stir gently. Garnish with celery and an optional lemon wedge.",glass_highball,celery stalk + lemon wedge,2 minutes,Easy,https://drive.google.com/file/d/1ya2pNlrG4G_hSR5z3wD_FGPEioEbUvbU/view?usp=drivesdk,2025-09-27
Bl** Job Cocktail,"[{""name"":""Irish cream"",""measure"":""""},{""name"":""Amaretto"",""measure"":""""},{""name"":""Whipped cream"",""measure"":""""},{""name"":""Coffee liqueur"",""measure"":""""}]","energy_indulgent,intent_dessert","style_shot,flavor_sweet,diet_dairy,texture_creamy",cat_shot_shooter,"Layer Irish cream, then Amaretto, followed by coffee liqueur in a shot glass, and top with whipped cream.",glass_coffee_mug,none,3 minutes,Medium,https://drive.google.com/file/d/1pOA-t3AtA62MR2i1rWUUVe3XyheTSXPW/view?usp=drivesdk,2025-09-28
Blue Hawaiian Cocktail,"[{""name"":""rum"",""measure"":""""},{""name"":""blue Curacao"",""measure"":""""},{""name"":""pineapple juice"",""measure"":""""},{""name"":""cream of coconut"",""measure"":""""},{""name"":""crushed ice"",""measure"":""""},{""name"":""pineapple"",""measure"":""""},{""name"":""maraschino cherry"",""measure"":""""}]","season_tropical,season_tiki,occ_party_high_energy","style_tiki,flavor_fruity,serve_frozen,season_summer,occ_party",cat_tiki_tropical,"Blend rum, blue Curacao, pineapple juice, cream of coconut, and crushed ice until smooth. Pour into a glass and garnish with a slice of pineapple and a maraschino cherry.",glass_coffee_mug,pineapple wedge + maraschino cherry,6 minutes,Medium,https://drive.google.com/file/d/1LIlQwOkhLm3AabcQnk9F3JjL7XliZYrf/view?usp=drivesdk,2025-09-28
Blue Lady,"[{""name"":""Blue Curaçao"",""measure"":""""},{""name"":""Light rum"",""measure"":""""},{""name"":""Lemon juice"",""measure"":""""}]","energy_light_refreshing,energy_bright_uplifting","style_contemporary_classic,flavor_citrus,serve_up",cat_short_shaken_citrus,"Combine Blue Curaçao, light rum, and lemon juice in a shaker with ice, then strain into a chilled coupe.",glass_coffee_mug,none,3 minutes,Medium,https://drive.google.com/file/d/1cf707wEI2zX7i7jY1Hyp734K-haalgDo/view?usp=drivesdk,2025-09-28
Blue Lagoon,"[{""name"":""vodka"",""measure"":""""},{""name"":""blue curaçao"",""measure"":""""},{""name"":""lemon juice"",""measure"":""""},{""name"":""Ice cube"",""measure"":""""}]","energy_light_refreshing,energy_bright_uplifting","style_contemporary_classic,flavor_citrus,serve_on_rocks",cat_short_shaken_citrus,"Combine vodka, blue curaçao, and lemon juice in a shaker with ice, then strain into a glass filled with ice.",glass_coffee_mug,none,3 minutes,Easy,https://drive.google.com/file/d/1ythaCB9f3mfq4Aidm1kbS4asjfBs8a5F/view?usp=drivesdk,2025-09-28
Blue Monday,"[{""name"":""vodka"",""measure"":""""},{""name"":""cointreau"",""measure"":""""},{""name"":""blue curaçao"",""measure"":""""},{""name"":""flamed orange zest"",""measure"":""""}]","energy_bold_spirit_forward,occ_soiree","style_contemporary_classic,flavor_citrus,serve_up",cat_short_spirit_forward,"Combine equal parts vodka, Cointreau, and blue curaçao in a shaker with ice, then strain into a chilled coupe. Garnish with flamed orange zest.",glass_coffee_mug,orange twist,3 minutes,Medium,https://drive.google.com/file/d/1Td4OBKGsvOGAjdSWeCLJ61jxUi2KZSFF/view?usp=drivesdk,2025-09-28
Blue Oasis,"[{""name"":""gin"",""measure"":""""},{""name"":""blue curaçao"",""measure"":""""},{""name"":""soda"",""measure"":""""},{""name"":""Lemon wedges"",""measure"":""""},{""name"":""Ice cubes as required"",""measure"":""""}]","energy_light_refreshing,time_aperitif","style_contemporary_classic,flavor_citrus,serve_bubbly,strength_moderate,occ_party",cat_highball_long,"In a glass filled with ice, combine gin and blue curaçao, then top with soda. Squeeze in lemon wedges for added freshness.",glass_coffee_mug,lemon wedge,2 minutes,Easy,https://drive.google.com/file/d/1Qn6Tt9ckN_OEDdpy5e_d9BQTUQZaIUcK/view?usp=drivesdk,2025-09-28
Blue Vodka Lemonade,"[{""name"":""Lemonade"",""measure"":""""},{""name"":""Blue liquor, (UV Blue Vodka or Blue Curaçao)"",""measure"":""""},{""name"":""Blue food coloring, optional"",""measure"":""""},{""name"":""Lemon Wedge"",""measure"":""""}]","energy_light_refreshing,energy_bright_uplifting","style_new_era,flavor_citrus,serve_long,occ_party",cat_soft_zero_proof,"In a glass filled with ice, combine equal parts lemonade and blue liquor, adding a drop of blue food coloring if desired. Stir gently and garnish with a lemon wedge.",glass_coffee_mug,lemon wedge,2 minutes,Easy,https://drive.google.com/file/d/1SeW43daCc8WZA5N5JaCEpAMB2ks_03Mx/view?usp=drivesdk,2025-09-28
